,trt_imdb_score,trt_duration,trt_language,country,trt_content_rating,budget,aspect_ratio,trt_genre
129,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Mystery
130,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
131,6-7,longa_metragem,english,USA,PG,150000000.0,1.85,Adventure
132,5,longa_metragem,english,USA,PG,150000000.0,2.35,Action
133,5,longa_metragem,english,USA,PG-13,150000000.0,1.85,Action
134,6-7,longa_metragem,english,USA,PG-13,100000000.0,1.85,Comedy
135,6-7,longa_metragem,english,China,PG-13,150000000.0,2.35,Action
136,5,longa_metragem,english,USA,R,150000000.0,1.85,Drama
138,6-7,longa_metragem,english,USA,PG,150000000.0,1.85,Adventure
139,6-7,longa_metragem,english,USA,PG,150000000.0,2.35,Action
140,<4,longa_metragem,english,USA,PG,150000000.0,2.35,Action
141,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
142,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
143,5,longa_metragem,english,USA,PG,150000000.0,2.35,Action
144,6-7,longa_metragem,english,UK,PG,149000000.0,1.85,Adventure
145,5,longa_metragem,english,USA,PG,150000000.0,2.35,Adventure
146,6-7,longa_metragem,english,USA,PG,145000000.0,1.85,Adventure
147,6-7,longa_metragem,english,USA,R,175000000.0,2.35,Adventure
148,6-7,longa_metragem,english,USA,PG,145000000.0,1.85,Adventure
149,6-7,longa_metragem,english,UK,PG-13,142000000.0,2.35,Action
150,5,longa_metragem,english,USA,PG-13,144000000.0,2.35,Action
151,6-7,longa_metragem,english,USA,PG-13,140000000.0,2.35,Action
152,6-7,longa_metragem,english,USA,PG-13,140000000.0,1.85,Action
153,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
154,6-7,longa_metragem,english,USA,PG,145000000.0,2.35,Action
155,6-7,longa_metragem,english,USA,PG-13,145000000.0,2.35,Action
156,6-7,longa_metragem,english,USA,PG,145000000.0,1.85,Adventure
157,6-7,longa_metragem,english,USA,PG-13,100000000.0,2.35,Comedy
158,6-7,longa_metragem,english,USA,R,140000000.0,2.35,Action
159,6-7,longa_metragem,english,UK,PG-13,140000000.0,2.35,Action
160,8-10,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
161,6-7,longa_metragem,english,USA,PG-13,139000000.0,1.85,Action
162,6-7,longa_metragem,english,USA,PG,145000000.0,2.35,Action
163,5,longa_metragem,english,USA,PG-13,140000000.0,2.35,Action
164,5,longa_metragem,english,USA,PG-13,135000000.0,2.35,Action
165,6-7,longa_metragem,english,USA,R,130000000.0,2.35,Action
166,6-7,longa_metragem,english,USA,R,140000000.0,2.35,Action
167,5,longa_metragem,english,USA,PG-13,137000000.0,1.85,Action
168,5,longa_metragem,english,USA,PG-13,130000000.0,2.35,Action
169,6-7,longa_metragem,english,UK,PG-13,130000000.0,2.35,Action
170,6-7,longa_metragem,english,USA,PG-13,137000000.0,1.85,Action
171,6-7,longa_metragem,english,USA,PG-13,140000000.0,2.35,Action
172,6-7,longa_metragem,english,UK,PG-13,135000000.0,2.35,Action
173,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
174,5,longa_metragem,english,USA,PG-13,120000000.0,2.35,Adventure
175,5,longa_metragem,english,Australia,PG,135000000.0,2.35,Animation
176,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
178,6-7,longa_metragem,english,UK,PG,140000000.0,2.35,Adventure
179,8-10,longa_metragem,english,USA,R,135000000.0,2.35,Adventure
180,6-7,longa_metragem,english,USA,PG,135000000.0,2.35,Adventure
181,6-7,longa_metragem,english,USA,PG,135000000.0,2.35,Adventure
182,6-7,longa_metragem,english,USA,PG,132000000.0,1.85,Adventure
183,8-10,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
184,6-7,longa_metragem,english,USA,PG,130000000.0,2.35,Action
185,6-7,longa_metragem,english,USA,PG-13,130000000.0,1.85,Action
186,6-7,longa_metragem,english,USA,PG-13,130000000.0,2.35,Adventure
188,6-7,longa_metragem,english,USA,PG,135000000.0,1.85,Adventure
189,6-7,longa_metragem,english,USA,PG-13,132000000.0,1.85,Adventure
190,6-7,longa_metragem,english,USA,R,130000000.0,2.35,Action
191,6-7,longa_metragem,english,USA,PG,130000000.0,2.35,Action
192,6-7,longa_metragem,english,USA,PG-13,110000000.0,2.35,Action
193,5,longa_metragem,english,USA,PG-13,125000000.0,1.85,Action
194,6-7,longa_metragem,english,USA,PG,135000000.0,2.35,Action
195,6-7,longa_metragem,english,UK,PG,130000000.0,2.35,Adventure
196,6-7,longa_metragem,english,Australia,PG-13,130000000.0,2.35,Adventure
197,<4,longa_metragem,english,USA,PG-13,130000000.0,2.35,Action
198,6-7,longa_metragem,english,USA,PG,127500000.0,1.85,Adventure
200,6-7,longa_metragem,english,USA,PG,127000000.0,1.85,Adventure
201,6-7,longa_metragem,english,USA,PG,130000000.0,2.35,Action
202,6-7,longa_metragem,english,UK,PG,125000000.0,2.35,Adventure
203,5,longa_metragem,english,USA,PG-13,130000000.0,2.35,Action
205,8-10,longa_metragem,english,USA,PG-13,140000000.0,2.35,Action
207,6-7,longa_metragem,english,USA,PG-13,125000000.0,2.35,Adventure
208,6-7,longa_metragem,english,USA,PG-13,125000000.0,2.35,Mystery
209,6-7,longa_metragem,english,USA,G,103000000.0,2.35,Adventure
210,6-7,longa_metragem,english,Canada,PG-13,110000000.0,2.35,Action
