,trt_imdb_score,trt_duration,trt_language,country,budget,gross,trt_content_rating,trt_genre
323,7,longa_metragem,english,USA,99000000.0,130174897.0,G,Adventure
324,7,longa_metragem,english,USA,10000000.0,10200000.0,PG,Drama
325,6,longa_metragem,english,USA,98000000.0,202007640.0,PG-13,Action
326,7,longa_metragem,english,USA,100000000.0,77679638.0,R,Crime
328,6,longa_metragem,english,USA,100000000.0,58867694.0,PG,Animation
329,5,longa_metragem,english,USA,90000000.0,59475623.0,PG-13,Comedy
330,7,longa_metragem,english,USA,92000000.0,108638745.0,R,Drama
331,6,longa_metragem,english,USA,95000000.0,86897182.0,R,Comedy
333,4,longa_metragem,english,USA,100000000.0,95328937.0,R,Comedy
334,6,longa_metragem,english,USA,95000000.0,50802661.0,PG,Adventure
335,6,longa_metragem,english,USA,95000000.0,161317423.0,PG,Adventure
336,7,longa_metragem,english,USA,95000000.0,201148159.0,PG,Drama
337,6,longa_metragem,english,USA,65000000.0,43982842.0,PG-13,Drama
338,8,longa_metragem,english,USA,94000000.0,380838870.0,G,Adventure
339,8,longa_metragem,english,USA,94000000.0,377019252.0,PG-13,Action
340,8,longa_metragem,english,USA,94000000.0,340478898.0,PG-13,Action
341,5,longa_metragem,english,USA,95000000.0,17176900.0,PG-13,Action
342,5,longa_metragem,english,USA,115000000.0,131144183.0,PG-13,Action
344,5,longa_metragem,english,USA,93000000.0,181166115.0,PG-13,Action
345,7,longa_metragem,english,USA,93000000.0,176740650.0,PG-13,Action
346,6,longa_metragem,english,USA,90000000.0,71148699.0,PG,Adventure
347,5,longa_metragem,english,USA,92000000.0,67344392.0,R,Action
348,6,longa_metragem,english,USA,107000000.0,22406362.0,PG-13,Drama
349,8,longa_metragem,english,USA,92000000.0,261437578.0,PG,Action
350,5,longa_metragem,english,USA,98000000.0,11000000.0,PG-13,Action
352,7,longa_metragem,english,USA,90000000.0,250147615.0,PG-13,Adventure
353,7,longa_metragem,english,USA,90000000.0,245823397.0,G,Adventure
354,6,longa_metragem,english,USA,100000000.0,81557479.0,PG-13,Action
355,6,longa_metragem,english,USA,90000000.0,226138454.0,PG-13,Action
356,6,longa_metragem,english,USA,100000000.0,155370362.0,PG-13,Drama
357,7,longa_metragem,english,USA,100000000.0,124870275.0,PG,Animation
358,7,longa_metragem,english,USA,90000000.0,196573705.0,PG,Action
359,7,longa_metragem,english,USA,90000000.0,58229120.0,PG,Adventure
360,5,longa_metragem,english,USA,92000000.0,125305545.0,PG-13,Action
361,8,longa_metragem,english,USA,90000000.0,132373442.0,R,Crime
362,7,longa_metragem,english,USA,90000000.0,120618403.0,G,Adventure
363,7,longa_metragem,english,USA,92000000.0,110416702.0,R,Action
364,7,longa_metragem,english,USA,90000000.0,102515793.0,R,Crime
365,7,longa_metragem,english,USA,90000000.0,100012500.0,R,Action
366,7,longa_metragem,english,USA,90000000.0,209019489.0,PG-13,Action
368,6,longa_metragem,english,USA,120000000.0,84037039.0,PG,Action
369,5,longa_metragem,english,USA,90000000.0,85884815.0,PG,Adventure
370,7,longa_metragem,english,USA,75000000.0,83077470.0,PG-13,Drama
371,5,longa_metragem,english,USA,90000000.0,100018837.0,PG-13,Action
372,5,longa_metragem,english,USA,88000000.0,78747585.0,PG-13,Action
373,7,longa_metragem,english,USA,100000000.0,78616689.0,PG-13,Adventure
374,4,longa_metragem,english,USA,90000000.0,75817994.0,PG,Comedy
375,7,longa_metragem,english,USA,90000000.0,100853835.0,PG,Drama
