year,state,month,trt_month_year,trt_number,trt_region,trt_estacoes
2007,Espirito Santo,Julho,Julho - 2007,1,Sudeste,Inverno
2008,Espirito Santo,Julho,Julho - 2008,1,Sudeste,Inverno
2009,Espirito Santo,Julho,Julho - 2009,1,Sudeste,Inverno
2010,Espirito Santo,Julho,Julho - 2010,1,Sudeste,Inverno
2011,Espirito Santo,Julho,Julho - 2011,1,Sudeste,Inverno
2012,Espirito Santo,Julho,Julho - 2012,1,Sudeste,Inverno
2013,Espirito Santo,Julho,Julho - 2013,1,Sudeste,Inverno
2014,Espirito Santo,Julho,Julho - 2014,1,Sudeste,Inverno
2015,Espirito Santo,Julho,Julho - 2015,1,Sudeste,Inverno
2016,Espirito Santo,Julho,Julho - 2016,1,Sudeste,Inverno
2017,Espirito Santo,Julho,Julho - 2017,1,Sudeste,Inverno
1998,Espirito Santo,Agosto,Agosto - 1998,1,Sudeste,Inverno
1999,Espirito Santo,Agosto,Agosto - 1999,1,Sudeste,Inverno
2000,Espirito Santo,Agosto,Agosto - 2000,1,Sudeste,Inverno
2001,Espirito Santo,Agosto,Agosto - 2001,1,Sudeste,Inverno
2002,Espirito Santo,Agosto,Agosto - 2002,1,Sudeste,Inverno
2003,Espirito Santo,Agosto,Agosto - 2003,1,Sudeste,Inverno
2004,Espirito Santo,Agosto,Agosto - 2004,1,Sudeste,Inverno
2005,Espirito Santo,Agosto,Agosto - 2005,1,Sudeste,Inverno
2006,Espirito Santo,Agosto,Agosto - 2006,1,Sudeste,Inverno
2007,Espirito Santo,Agosto,Agosto - 2007,1,Sudeste,Inverno
2008,Espirito Santo,Agosto,Agosto - 2008,1,Sudeste,Inverno
2009,Espirito Santo,Agosto,Agosto - 2009,1,Sudeste,Inverno
2010,Espirito Santo,Agosto,Agosto - 2010,1,Sudeste,Inverno
2011,Espirito Santo,Agosto,Agosto - 2011,1,Sudeste,Inverno
2012,Espirito Santo,Agosto,Agosto - 2012,1,Sudeste,Inverno
2013,Espirito Santo,Agosto,Agosto - 2013,1,Sudeste,Inverno
2014,Espirito Santo,Agosto,Agosto - 2014,1,Sudeste,Inverno
2015,Espirito Santo,Agosto,Agosto - 2015,1,Sudeste,Inverno
2016,Espirito Santo,Agosto,Agosto - 2016,1,Sudeste,Inverno
2017,Espirito Santo,Agosto,Agosto - 2017,1,Sudeste,Inverno
1998,Espirito Santo,Setembro,Setembro - 1998,1,Sudeste,Inverno
1999,Espirito Santo,Setembro,Setembro - 1999,1,Sudeste,Inverno
2000,Espirito Santo,Setembro,Setembro - 2000,1,Sudeste,Inverno
2001,Espirito Santo,Setembro,Setembro - 2001,1,Sudeste,Inverno
2002,Espirito Santo,Setembro,Setembro - 2002,1,Sudeste,Inverno
2003,Espirito Santo,Setembro,Setembro - 2003,1,Sudeste,Inverno
2004,Espirito Santo,Setembro,Setembro - 2004,1,Sudeste,Inverno
2005,Espirito Santo,Setembro,Setembro - 2005,1,Sudeste,Inverno
2006,Espirito Santo,Setembro,Setembro - 2006,1,Sudeste,Inverno
2007,Espirito Santo,Setembro,Setembro - 2007,1,Sudeste,Inverno
2008,Espirito Santo,Setembro,Setembro - 2008,1,Sudeste,Inverno
2009,Espirito Santo,Setembro,Setembro - 2009,1,Sudeste,Inverno
2010,Espirito Santo,Setembro,Setembro - 2010,1,Sudeste,Inverno
2011,Espirito Santo,Setembro,Setembro - 2011,1,Sudeste,Inverno
2012,Espirito Santo,Setembro,Setembro - 2012,1,Sudeste,Inverno
2013,Espirito Santo,Setembro,Setembro - 2013,1,Sudeste,Inverno
2014,Espirito Santo,Setembro,Setembro - 2014,1,Sudeste,Inverno
2015,Espirito Santo,Setembro,Setembro - 2015,1,Sudeste,Inverno
2016,Espirito Santo,Setembro,Setembro - 2016,1,Sudeste,Inverno
2017,Espirito Santo,Setembro,Setembro - 2017,1,Sudeste,Inverno
1998,Espirito Santo,Outubro,Outubro - 1998,1,Sudeste,Primavera
1999,Espirito Santo,Outubro,Outubro - 1999,1,Sudeste,Primavera
2000,Espirito Santo,Outubro,Outubro - 2000,1,Sudeste,Primavera
2001,Espirito Santo,Outubro,Outubro - 2001,1,Sudeste,Primavera
2002,Espirito Santo,Outubro,Outubro - 2002,1,Sudeste,Primavera
2003,Espirito Santo,Outubro,Outubro - 2003,1,Sudeste,Primavera
2004,Espirito Santo,Outubro,Outubro - 2004,1,Sudeste,Primavera
2005,Espirito Santo,Outubro,Outubro - 2005,1,Sudeste,Primavera
2006,Espirito Santo,Outubro,Outubro - 2006,1,Sudeste,Primavera
2007,Espirito Santo,Outubro,Outubro - 2007,1,Sudeste,Primavera
2008,Espirito Santo,Outubro,Outubro - 2008,1,Sudeste,Primavera
2009,Espirito Santo,Outubro,Outubro - 2009,1,Sudeste,Primavera
2010,Espirito Santo,Outubro,Outubro - 2010,1,Sudeste,Primavera
2011,Espirito Santo,Outubro,Outubro - 2011,1,Sudeste,Primavera
2012,Espirito Santo,Outubro,Outubro - 2012,1,Sudeste,Primavera
2013,Espirito Santo,Outubro,Outubro - 2013,1,Sudeste,Primavera
2014,Espirito Santo,Outubro,Outubro - 2014,1,Sudeste,Primavera
2015,Espirito Santo,Outubro,Outubro - 2015,1,Sudeste,Primavera
2016,Espirito Santo,Outubro,Outubro - 2016,1,Sudeste,Primavera
2017,Espirito Santo,Outubro,Outubro - 2017,1,Sudeste,Primavera
1998,Espirito Santo,Novembro,Novembro - 1998,1,Sudeste,Primavera
1999,Espirito Santo,Novembro,Novembro - 1999,1,Sudeste,Primavera
2000,Espirito Santo,Novembro,Novembro - 2000,1,Sudeste,Primavera
2001,Espirito Santo,Novembro,Novembro - 2001,1,Sudeste,Primavera
2002,Espirito Santo,Novembro,Novembro - 2002,1,Sudeste,Primavera
2003,Espirito Santo,Novembro,Novembro - 2003,1,Sudeste,Primavera
2004,Espirito Santo,Novembro,Novembro - 2004,1,Sudeste,Primavera
2005,Espirito Santo,Novembro,Novembro - 2005,0,Sudeste,Primavera
2006,Espirito Santo,Novembro,Novembro - 2006,0,Sudeste,Primavera
2007,Espirito Santo,Novembro,Novembro - 2007,1,Sudeste,Primavera
2008,Espirito Santo,Novembro,Novembro - 2008,1,Sudeste,Primavera
2009,Espirito Santo,Novembro,Novembro - 2009,1,Sudeste,Primavera
2010,Espirito Santo,Novembro,Novembro - 2010,1,Sudeste,Primavera
2011,Espirito Santo,Novembro,Novembro - 2011,1,Sudeste,Primavera
2012,Espirito Santo,Novembro,Novembro - 2012,1,Sudeste,Primavera
2013,Espirito Santo,Novembro,Novembro - 2013,1,Sudeste,Primavera
2014,Espirito Santo,Novembro,Novembro - 2014,1,Sudeste,Primavera
2015,Espirito Santo,Novembro,Novembro - 2015,1,Sudeste,Primavera
2016,Espirito Santo,Novembro,Novembro - 2016,1,Sudeste,Primavera
2017,Espirito Santo,Novembro,Novembro - 2017,1,Sudeste,Primavera
1998,Espirito Santo,Dezembro,Dezembro - 1998,1,Sudeste,Primavera
1999,Espirito Santo,Dezembro,Dezembro - 1999,0,Sudeste,Primavera
2000,Espirito Santo,Dezembro,Dezembro - 2000,1,Sudeste,Primavera
2001,Espirito Santo,Dezembro,Dezembro - 2001,1,Sudeste,Primavera
2002,Espirito Santo,Dezembro,Dezembro - 2002,1,Sudeste,Primavera
2003,Espirito Santo,Dezembro,Dezembro - 2003,1,Sudeste,Primavera
2004,Espirito Santo,Dezembro,Dezembro - 2004,1,Sudeste,Primavera
2005,Espirito Santo,Dezembro,Dezembro - 2005,1,Sudeste,Primavera
2006,Espirito Santo,Dezembro,Dezembro - 2006,0,Sudeste,Primavera
2007,Espirito Santo,Dezembro,Dezembro - 2007,1,Sudeste,Primavera
2008,Espirito Santo,Dezembro,Dezembro - 2008,1,Sudeste,Primavera
2009,Espirito Santo,Dezembro,Dezembro - 2009,1,Sudeste,Primavera
2010,Espirito Santo,Dezembro,Dezembro - 2010,1,Sudeste,Primavera
2011,Espirito Santo,Dezembro,Dezembro - 2011,1,Sudeste,Primavera
2012,Espirito Santo,Dezembro,Dezembro - 2012,1,Sudeste,Primavera
2013,Espirito Santo,Dezembro,Dezembro - 2013,1,Sudeste,Primavera
2014,Espirito Santo,Dezembro,Dezembro - 2014,1,Sudeste,Primavera
2015,Espirito Santo,Dezembro,Dezembro - 2015,1,Sudeste,Primavera
2016,Espirito Santo,Dezembro,Dezembro - 2016,1,Sudeste,Primavera
1998,Goias,Janeiro,Janeiro - 1998,0,Centro-Oeste,Verao
1999,Goias,Janeiro,Janeiro - 1999,1,Centro-Oeste,Verao
2000,Goias,Janeiro,Janeiro - 2000,1,Centro-Oeste,Verao
2001,Goias,Janeiro,Janeiro - 2001,1,Centro-Oeste,Verao
2002,Goias,Janeiro,Janeiro - 2002,1,Centro-Oeste,Verao
2003,Goias,Janeiro,Janeiro - 2003,1,Centro-Oeste,Verao
2004,Goias,Janeiro,Janeiro - 2004,1,Centro-Oeste,Verao
2005,Goias,Janeiro,Janeiro - 2005,1,Centro-Oeste,Verao
2006,Goias,Janeiro,Janeiro - 2006,1,Centro-Oeste,Verao
2007,Goias,Janeiro,Janeiro - 2007,1,Centro-Oeste,Verao
2008,Goias,Janeiro,Janeiro - 2008,1,Centro-Oeste,Verao
2009,Goias,Janeiro,Janeiro - 2009,1,Centro-Oeste,Verao
2010,Goias,Janeiro,Janeiro - 2010,1,Centro-Oeste,Verao
2011,Goias,Janeiro,Janeiro - 2011,1,Centro-Oeste,Verao
2012,Goias,Janeiro,Janeiro - 2012,1,Centro-Oeste,Verao
2013,Goias,Janeiro,Janeiro - 2013,1,Centro-Oeste,Verao
2014,Goias,Janeiro,Janeiro - 2014,1,Centro-Oeste,Verao
2015,Goias,Janeiro,Janeiro - 2015,1,Centro-Oeste,Verao
2016,Goias,Janeiro,Janeiro - 2016,1,Centro-Oeste,Verao
2017,Goias,Janeiro,Janeiro - 2017,1,Centro-Oeste,Verao
1998,Goias,Fevereiro,Fevereiro - 1998,0,Centro-Oeste,Verao
1999,Goias,Fevereiro,Fevereiro - 1999,1,Centro-Oeste,Verao
2000,Goias,Fevereiro,Fevereiro - 2000,1,Centro-Oeste,Verao
2001,Goias,Fevereiro,Fevereiro - 2001,1,Centro-Oeste,Verao
2002,Goias,Fevereiro,Fevereiro - 2002,1,Centro-Oeste,Verao
2003,Goias,Fevereiro,Fevereiro - 2003,1,Centro-Oeste,Verao
2004,Goias,Fevereiro,Fevereiro - 2004,1,Centro-Oeste,Verao
2005,Goias,Fevereiro,Fevereiro - 2005,1,Centro-Oeste,Verao
2006,Goias,Fevereiro,Fevereiro - 2006,1,Centro-Oeste,Verao
2007,Goias,Fevereiro,Fevereiro - 2007,1,Centro-Oeste,Verao
2008,Goias,Fevereiro,Fevereiro - 2008,1,Centro-Oeste,Verao
2009,Goias,Fevereiro,Fevereiro - 2009,1,Centro-Oeste,Verao
2010,Goias,Fevereiro,Fevereiro - 2010,1,Centro-Oeste,Verao
2011,Goias,Fevereiro,Fevereiro - 2011,1,Centro-Oeste,Verao
2012,Goias,Fevereiro,Fevereiro - 2012,1,Centro-Oeste,Verao
2013,Goias,Fevereiro,Fevereiro - 2013,1,Centro-Oeste,Verao
2014,Goias,Fevereiro,Fevereiro - 2014,1,Centro-Oeste,Verao
2015,Goias,Fevereiro,Fevereiro - 2015,1,Centro-Oeste,Verao
2016,Goias,Fevereiro,Fevereiro - 2016,1,Centro-Oeste,Verao
2017,Goias,Fevereiro,Fevereiro - 2017,1,Centro-Oeste,Verao
1998,Goias,MarÁo,MarÁo - 1998,0,Centro-Oeste,Outono
1999,Goias,MarÁo,MarÁo - 1999,1,Centro-Oeste,Outono
2000,Goias,MarÁo,MarÁo - 2000,1,Centro-Oeste,Outono
2001,Goias,MarÁo,MarÁo - 2001,1,Centro-Oeste,Outono
2002,Goias,MarÁo,MarÁo - 2002,1,Centro-Oeste,Outono
2003,Goias,MarÁo,MarÁo - 2003,1,Centro-Oeste,Outono
2004,Goias,MarÁo,MarÁo - 2004,1,Centro-Oeste,Outono
2005,Goias,MarÁo,MarÁo - 2005,1,Centro-Oeste,Outono
2006,Goias,MarÁo,MarÁo - 2006,1,Centro-Oeste,Outono
2007,Goias,MarÁo,MarÁo - 2007,1,Centro-Oeste,Outono
2008,Goias,MarÁo,MarÁo - 2008,1,Centro-Oeste,Outono
2009,Goias,MarÁo,MarÁo - 2009,1,Centro-Oeste,Outono
2010,Goias,MarÁo,MarÁo - 2010,1,Centro-Oeste,Outono
2011,Goias,MarÁo,MarÁo - 2011,1,Centro-Oeste,Outono
2012,Goias,MarÁo,MarÁo - 2012,1,Centro-Oeste,Outono
2013,Goias,MarÁo,MarÁo - 2013,1,Centro-Oeste,Outono
2014,Goias,MarÁo,MarÁo - 2014,1,Centro-Oeste,Outono
2015,Goias,MarÁo,MarÁo - 2015,1,Centro-Oeste,Outono
2016,Goias,MarÁo,MarÁo - 2016,1,Centro-Oeste,Outono
2017,Goias,MarÁo,MarÁo - 2017,1,Centro-Oeste,Outono
1998,Goias,Abril,Abril - 1998,0,Centro-Oeste,Outono
1999,Goias,Abril,Abril - 1999,1,Centro-Oeste,Outono
2000,Goias,Abril,Abril - 2000,1,Centro-Oeste,Outono
2001,Goias,Abril,Abril - 2001,1,Centro-Oeste,Outono
2002,Goias,Abril,Abril - 2002,1,Centro-Oeste,Outono
2003,Goias,Abril,Abril - 2003,1,Centro-Oeste,Outono
2004,Goias,Abril,Abril - 2004,1,Centro-Oeste,Outono
2005,Goias,Abril,Abril - 2005,1,Centro-Oeste,Outono
2006,Goias,Abril,Abril - 2006,1,Centro-Oeste,Outono
2007,Goias,Abril,Abril - 2007,1,Centro-Oeste,Outono
2008,Goias,Abril,Abril - 2008,1,Centro-Oeste,Outono
2009,Goias,Abril,Abril - 2009,1,Centro-Oeste,Outono
2010,Goias,Abril,Abril - 2010,1,Centro-Oeste,Outono
2011,Goias,Abril,Abril - 2011,1,Centro-Oeste,Outono
2012,Goias,Abril,Abril - 2012,1,Centro-Oeste,Outono
2013,Goias,Abril,Abril - 2013,1,Centro-Oeste,Outono
2014,Goias,Abril,Abril - 2014,1,Centro-Oeste,Outono
2015,Goias,Abril,Abril - 2015,1,Centro-Oeste,Outono
2016,Goias,Abril,Abril - 2016,1,Centro-Oeste,Outono
2017,Goias,Abril,Abril - 2017,1,Centro-Oeste,Outono
1998,Goias,Maio,Maio - 1998,0,Centro-Oeste,Outono
1999,Goias,Maio,Maio - 1999,1,Centro-Oeste,Outono
2000,Goias,Maio,Maio - 2000,1,Centro-Oeste,Outono
2001,Goias,Maio,Maio - 2001,1,Centro-Oeste,Outono
2002,Goias,Maio,Maio - 2002,1,Centro-Oeste,Outono
2003,Goias,Maio,Maio - 2003,1,Centro-Oeste,Outono
2004,Goias,Maio,Maio - 2004,1,Centro-Oeste,Outono
2005,Goias,Maio,Maio - 2005,1,Centro-Oeste,Outono
2006,Goias,Maio,Maio - 2006,1,Centro-Oeste,Outono
2007,Goias,Maio,Maio - 2007,1,Centro-Oeste,Outono
2008,Goias,Maio,Maio - 2008,1,Centro-Oeste,Outono
2009,Goias,Maio,Maio - 2009,1,Centro-Oeste,Outono
2010,Goias,Maio,Maio - 2010,1,Centro-Oeste,Outono
2011,Goias,Maio,Maio - 2011,1,Centro-Oeste,Outono
2012,Goias,Maio,Maio - 2012,1,Centro-Oeste,Outono
2013,Goias,Maio,Maio - 2013,1,Centro-Oeste,Outono
2014,Goias,Maio,Maio - 2014,1,Centro-Oeste,Outono
2015,Goias,Maio,Maio - 2015,1,Centro-Oeste,Outono
2016,Goias,Maio,Maio - 2016,1,Centro-Oeste,Outono
2017,Goias,Maio,Maio - 2017,1,Centro-Oeste,Outono
1998,Goias,Junho,Junho - 1998,1,Centro-Oeste,Outono
1999,Goias,Junho,Junho - 1999,1,Centro-Oeste,Outono
2000,Goias,Junho,Junho - 2000,1,Centro-Oeste,Outono
2001,Goias,Junho,Junho - 2001,1,Centro-Oeste,Outono
2002,Goias,Junho,Junho - 2002,1,Centro-Oeste,Outono
2003,Goias,Junho,Junho - 2003,1,Centro-Oeste,Outono
2004,Goias,Junho,Junho - 2004,1,Centro-Oeste,Outono
2005,Goias,Junho,Junho - 2005,1,Centro-Oeste,Outono
2006,Goias,Junho,Junho - 2006,1,Centro-Oeste,Outono
2007,Goias,Junho,Junho - 2007,1,Centro-Oeste,Outono
2008,Goias,Junho,Junho - 2008,1,Centro-Oeste,Outono
2009,Goias,Junho,Junho - 2009,1,Centro-Oeste,Outono
2010,Goias,Junho,Junho - 2010,1,Centro-Oeste,Outono
2011,Goias,Junho,Junho - 2011,1,Centro-Oeste,Outono
2012,Goias,Junho,Junho - 2012,1,Centro-Oeste,Outono
2013,Goias,Junho,Junho - 2013,1,Centro-Oeste,Outono
2014,Goias,Junho,Junho - 2014,1,Centro-Oeste,Outono
2015,Goias,Junho,Junho - 2015,1,Centro-Oeste,Outono
2016,Goias,Junho,Junho - 2016,1,Centro-Oeste,Outono
2017,Goias,Junho,Junho - 2017,1,Centro-Oeste,Outono
1998,Goias,Julho,Julho - 1998,1,Centro-Oeste,Inverno
1999,Goias,Julho,Julho - 1999,1,Centro-Oeste,Inverno
2000,Goias,Julho,Julho - 2000,1,Centro-Oeste,Inverno
2001,Goias,Julho,Julho - 2001,1,Centro-Oeste,Inverno
2002,Goias,Julho,Julho - 2002,1,Centro-Oeste,Inverno
2003,Goias,Julho,Julho - 2003,1,Centro-Oeste,Inverno
2004,Goias,Julho,Julho - 2004,1,Centro-Oeste,Inverno
2005,Goias,Julho,Julho - 2005,1,Centro-Oeste,Inverno
2006,Goias,Julho,Julho - 2006,1,Centro-Oeste,Inverno
2007,Goias,Julho,Julho - 2007,1,Centro-Oeste,Inverno
2008,Goias,Julho,Julho - 2008,1,Centro-Oeste,Inverno
2009,Goias,Julho,Julho - 2009,1,Centro-Oeste,Inverno
2010,Goias,Julho,Julho - 2010,1,Centro-Oeste,Inverno
2011,Goias,Julho,Julho - 2011,1,Centro-Oeste,Inverno
2012,Goias,Julho,Julho - 2012,1,Centro-Oeste,Inverno
2013,Goias,Julho,Julho - 2013,1,Centro-Oeste,Inverno
2014,Goias,Julho,Julho - 2014,1,Centro-Oeste,Inverno
2015,Goias,Julho,Julho - 2015,1,Centro-Oeste,Inverno
2016,Goias,Julho,Julho - 2016,1,Centro-Oeste,Inverno
2017,Goias,Julho,Julho - 2017,1,Centro-Oeste,Inverno
1998,Goias,Agosto,Agosto - 1998,1,Centro-Oeste,Inverno
1999,Goias,Agosto,Agosto - 1999,1,Centro-Oeste,Inverno
2000,Goias,Agosto,Agosto - 2000,1,Centro-Oeste,Inverno
2001,Goias,Agosto,Agosto - 2001,1,Centro-Oeste,Inverno
2002,Goias,Agosto,Agosto - 2002,1,Centro-Oeste,Inverno
2003,Goias,Agosto,Agosto - 2003,1,Centro-Oeste,Inverno
2004,Goias,Agosto,Agosto - 2004,1,Centro-Oeste,Inverno
2005,Goias,Agosto,Agosto - 2005,1,Centro-Oeste,Inverno
2006,Goias,Agosto,Agosto - 2006,1,Centro-Oeste,Inverno
2007,Goias,Agosto,Agosto - 2007,1,Centro-Oeste,Inverno
2008,Goias,Agosto,Agosto - 2008,1,Centro-Oeste,Inverno
2009,Goias,Agosto,Agosto - 2009,1,Centro-Oeste,Inverno
2010,Goias,Agosto,Agosto - 2010,1,Centro-Oeste,Inverno
2011,Goias,Agosto,Agosto - 2011,1,Centro-Oeste,Inverno
2012,Goias,Agosto,Agosto - 2012,1,Centro-Oeste,Inverno
2013,Goias,Agosto,Agosto - 2013,1,Centro-Oeste,Inverno
2014,Goias,Agosto,Agosto - 2014,1,Centro-Oeste,Inverno
2015,Goias,Agosto,Agosto - 2015,1,Centro-Oeste,Inverno
2016,Goias,Agosto,Agosto - 2016,1,Centro-Oeste,Inverno
2017,Goias,Agosto,Agosto - 2017,1,Centro-Oeste,Inverno
1998,Goias,Setembro,Setembro - 1998,1,Centro-Oeste,Inverno
1999,Goias,Setembro,Setembro - 1999,1,Centro-Oeste,Inverno
2000,Goias,Setembro,Setembro - 2000,1,Centro-Oeste,Inverno
2001,Goias,Setembro,Setembro - 2001,1,Centro-Oeste,Inverno
2002,Goias,Setembro,Setembro - 2002,1,Centro-Oeste,Inverno
2003,Goias,Setembro,Setembro - 2003,1,Centro-Oeste,Inverno
2004,Goias,Setembro,Setembro - 2004,1,Centro-Oeste,Inverno
2005,Goias,Setembro,Setembro - 2005,1,Centro-Oeste,Inverno
2006,Goias,Setembro,Setembro - 2006,1,Centro-Oeste,Inverno
2007,Goias,Setembro,Setembro - 2007,1,Centro-Oeste,Inverno
2008,Goias,Setembro,Setembro - 2008,1,Centro-Oeste,Inverno
2009,Goias,Setembro,Setembro - 2009,1,Centro-Oeste,Inverno
2010,Goias,Setembro,Setembro - 2010,1,Centro-Oeste,Inverno
2011,Goias,Setembro,Setembro - 2011,1,Centro-Oeste,Inverno
2012,Goias,Setembro,Setembro - 2012,1,Centro-Oeste,Inverno
2013,Goias,Setembro,Setembro - 2013,1,Centro-Oeste,Inverno
2014,Goias,Setembro,Setembro - 2014,1,Centro-Oeste,Inverno
2015,Goias,Setembro,Setembro - 2015,1,Centro-Oeste,Inverno
2016,Goias,Setembro,Setembro - 2016,1,Centro-Oeste,Inverno
2017,Goias,Setembro,Setembro - 2017,1,Centro-Oeste,Inverno
1998,Goias,Outubro,Outubro - 1998,1,Centro-Oeste,Primavera
1999,Goias,Outubro,Outubro - 1999,1,Centro-Oeste,Primavera
2000,Goias,Outubro,Outubro - 2000,1,Centro-Oeste,Primavera
2001,Goias,Outubro,Outubro - 2001,1,Centro-Oeste,Primavera
2002,Goias,Outubro,Outubro - 2002,1,Centro-Oeste,Primavera
2003,Goias,Outubro,Outubro - 2003,1,Centro-Oeste,Primavera
2004,Goias,Outubro,Outubro - 2004,1,Centro-Oeste,Primavera
2005,Goias,Outubro,Outubro - 2005,1,Centro-Oeste,Primavera
2006,Goias,Outubro,Outubro - 2006,1,Centro-Oeste,Primavera
2007,Goias,Outubro,Outubro - 2007,1,Centro-Oeste,Primavera
2008,Goias,Outubro,Outubro - 2008,1,Centro-Oeste,Primavera
2009,Goias,Outubro,Outubro - 2009,1,Centro-Oeste,Primavera
2010,Goias,Outubro,Outubro - 2010,1,Centro-Oeste,Primavera
2011,Goias,Outubro,Outubro - 2011,1,Centro-Oeste,Primavera
2012,Goias,Outubro,Outubro - 2012,1,Centro-Oeste,Primavera
2013,Goias,Outubro,Outubro - 2013,1,Centro-Oeste,Primavera
2014,Goias,Outubro,Outubro - 2014,1,Centro-Oeste,Primavera
2015,Goias,Outubro,Outubro - 2015,1,Centro-Oeste,Primavera
2016,Goias,Outubro,Outubro - 2016,1,Centro-Oeste,Primavera
2017,Goias,Outubro,Outubro - 2017,1,Centro-Oeste,Primavera
1998,Goias,Novembro,Novembro - 1998,1,Centro-Oeste,Primavera
1999,Goias,Novembro,Novembro - 1999,1,Centro-Oeste,Primavera
2000,Goias,Novembro,Novembro - 2000,1,Centro-Oeste,Primavera
2001,Goias,Novembro,Novembro - 2001,1,Centro-Oeste,Primavera
2002,Goias,Novembro,Novembro - 2002,1,Centro-Oeste,Primavera
2003,Goias,Novembro,Novembro - 2003,1,Centro-Oeste,Primavera
2004,Goias,Novembro,Novembro - 2004,1,Centro-Oeste,Primavera
2005,Goias,Novembro,Novembro - 2005,1,Centro-Oeste,Primavera
2006,Goias,Novembro,Novembro - 2006,1,Centro-Oeste,Primavera
2007,Goias,Novembro,Novembro - 2007,1,Centro-Oeste,Primavera
2008,Goias,Novembro,Novembro - 2008,1,Centro-Oeste,Primavera
2009,Goias,Novembro,Novembro - 2009,1,Centro-Oeste,Primavera
2010,Goias,Novembro,Novembro - 2010,1,Centro-Oeste,Primavera
2011,Goias,Novembro,Novembro - 2011,1,Centro-Oeste,Primavera
2012,Goias,Novembro,Novembro - 2012,1,Centro-Oeste,Primavera
2013,Goias,Novembro,Novembro - 2013,1,Centro-Oeste,Primavera
2014,Goias,Novembro,Novembro - 2014,1,Centro-Oeste,Primavera
2015,Goias,Novembro,Novembro - 2015,1,Centro-Oeste,Primavera
2016,Goias,Novembro,Novembro - 2016,1,Centro-Oeste,Primavera
2017,Goias,Novembro,Novembro - 2017,1,Centro-Oeste,Primavera
1998,Goias,Dezembro,Dezembro - 1998,1,Centro-Oeste,Primavera
1999,Goias,Dezembro,Dezembro - 1999,1,Centro-Oeste,Primavera
2000,Goias,Dezembro,Dezembro - 2000,1,Centro-Oeste,Primavera
2001,Goias,Dezembro,Dezembro - 2001,1,Centro-Oeste,Primavera
2002,Goias,Dezembro,Dezembro - 2002,1,Centro-Oeste,Primavera
2003,Goias,Dezembro,Dezembro - 2003,1,Centro-Oeste,Primavera
2004,Goias,Dezembro,Dezembro - 2004,1,Centro-Oeste,Primavera
2005,Goias,Dezembro,Dezembro - 2005,1,Centro-Oeste,Primavera
2006,Goias,Dezembro,Dezembro - 2006,1,Centro-Oeste,Primavera
2007,Goias,Dezembro,Dezembro - 2007,1,Centro-Oeste,Primavera
2008,Goias,Dezembro,Dezembro - 2008,1,Centro-Oeste,Primavera
2009,Goias,Dezembro,Dezembro - 2009,1,Centro-Oeste,Primavera
2010,Goias,Dezembro,Dezembro - 2010,1,Centro-Oeste,Primavera
2011,Goias,Dezembro,Dezembro - 2011,1,Centro-Oeste,Primavera
2012,Goias,Dezembro,Dezembro - 2012,1,Centro-Oeste,Primavera
2013,Goias,Dezembro,Dezembro - 2013,1,Centro-Oeste,Primavera
2014,Goias,Dezembro,Dezembro - 2014,1,Centro-Oeste,Primavera
2015,Goias,Dezembro,Dezembro - 2015,1,Centro-Oeste,Primavera
2016,Goias,Dezembro,Dezembro - 2016,1,Centro-Oeste,Primavera
1998,Maranhao,Janeiro,Janeiro - 1998,0,Nordeste,Verao
1999,Maranhao,Janeiro,Janeiro - 1999,1,Nordeste,Verao
2000,Maranhao,Janeiro,Janeiro - 2000,1,Nordeste,Verao
2001,Maranhao,Janeiro,Janeiro - 2001,1,Nordeste,Verao
2002,Maranhao,Janeiro,Janeiro - 2002,1,Nordeste,Verao
2003,Maranhao,Janeiro,Janeiro - 2003,1,Nordeste,Verao
2004,Maranhao,Janeiro,Janeiro - 2004,1,Nordeste,Verao
2005,Maranhao,Janeiro,Janeiro - 2005,1,Nordeste,Verao
2006,Maranhao,Janeiro,Janeiro - 2006,1,Nordeste,Verao
2007,Maranhao,Janeiro,Janeiro - 2007,1,Nordeste,Verao
2008,Maranhao,Janeiro,Janeiro - 2008,1,Nordeste,Verao
2009,Maranhao,Janeiro,Janeiro - 2009,1,Nordeste,Verao
2010,Maranhao,Janeiro,Janeiro - 2010,1,Nordeste,Verao
2011,Maranhao,Janeiro,Janeiro - 2011,1,Nordeste,Verao
2012,Maranhao,Janeiro,Janeiro - 2012,1,Nordeste,Verao
2013,Maranhao,Janeiro,Janeiro - 2013,1,Nordeste,Verao
2014,Maranhao,Janeiro,Janeiro - 2014,1,Nordeste,Verao
2015,Maranhao,Janeiro,Janeiro - 2015,1,Nordeste,Verao
2016,Maranhao,Janeiro,Janeiro - 2016,1,Nordeste,Verao
2017,Maranhao,Janeiro,Janeiro - 2017,1,Nordeste,Verao
1998,Maranhao,Fevereiro,Fevereiro - 1998,0,Nordeste,Verao
1999,Maranhao,Fevereiro,Fevereiro - 1999,1,Nordeste,Verao
2000,Maranhao,Fevereiro,Fevereiro - 2000,1,Nordeste,Verao
2001,Maranhao,Fevereiro,Fevereiro - 2001,1,Nordeste,Verao
2002,Maranhao,Fevereiro,Fevereiro - 2002,1,Nordeste,Verao
2003,Maranhao,Fevereiro,Fevereiro - 2003,1,Nordeste,Verao
